all_regi,ttot,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5
CAZ,2005,11.203641802197886,11.270875613907442,11.402472956170042,11.435195784990466,11.197560555407515
CHA,2005,8.143193256043464,8.400675771896019,8.57143298527213,8.807026794994469,8.143324432317737
EUR,2005,10.290790277092775,10.420071150569514,10.60942211431122,10.65591456789777,10.287298221215742
IND,2005,5.194777092594484,6.013985195334566,6.898867798564869,7.101116773993062,5.195016798377579
JPN,2005,11.388944954664437,11.411938558972137,11.488087530180682,11.521285786523787,11.38821977292398
LAM,2005,6.450409517617599,6.771253527546959,7.1265039984851715,7.385478252414597,6.451687945100658
MEA,2005,4.963679743350917,5.202187533755494,5.744862058188659,5.920888252589662,4.9629832509964285
NEU,2005,8.206822767821045,8.664069600731992,9.302391035944174,9.585437639779354,8.205536721813385
OAS,2005,6.228560049052491,6.680235544130029,7.13668724328326,7.395658542140683,6.2290948732656695
REF,2005,9.699311868156395,9.799752013110517,9.888255957257984,10.15619625568999,9.699688458510778
SSA,2005,3.458547374110721,3.940663407508131,4.852678556219428,5.13996810314842,3.4586328649582123
USA,2005,10.296062292233533,10.41353370353346,10.523759484905472,10.557391239157425,10.292363676213593
CAZ,2010,11.203641802197886,11.270875613907442,11.402472956170042,11.435195784990466,11.197560555407515
CHA,2010,8.143193256043464,8.400675771896019,8.57143298527213,8.807026794994469,8.143324432317737
EUR,2010,10.290790277092775,10.420071150569514,10.60942211431122,10.65591456789777,10.287298221215742
IND,2010,5.194777092594484,6.013985195334566,6.898867798564869,7.101116773993062,5.195016798377579
JPN,2010,11.388944954664437,11.411938558972137,11.488087530180682,11.521285786523787,11.38821977292398
LAM,2010,6.450409517617599,6.771253527546959,7.1265039984851715,7.385478252414597,6.451687945100658
MEA,2010,4.963679743350917,5.202187533755494,5.744862058188659,5.920888252589662,4.9629832509964285
NEU,2010,8.206822767821045,8.664069600731992,9.302391035944174,9.585437639779354,8.205536721813385
OAS,2010,6.228560049052491,6.680235544130029,7.13668724328326,7.395658542140683,6.2290948732656695
REF,2010,9.699311868156395,9.799752013110517,9.888255957257984,10.15619625568999,9.699688458510778
SSA,2010,3.458547374110721,3.940663407508131,4.852678556219428,5.13996810314842,3.4586328649582123
USA,2010,10.296062292233533,10.41353370353346,10.523759484905472,10.557391239157425,10.292363676213593
CAZ,2015,11.381576196396995,11.392156212024087,11.42661552209056,11.444378749027114,11.377566432272069
CHA,2015,8.634598795250575,8.736193522062925,8.817937314452957,8.94975197305383,8.634701968392203
EUR,2015,10.654825189024077,10.677226365580006,10.729634576641397,10.756076674984174,10.652935159735783
IND,2015,6.423286760483579,6.546839289528906,6.811316116851067,6.944094263513757,6.423391922865804
JPN,2015,11.593801140847438,11.599747078973266,11.626765144338968,11.64592242600431,11.593314251810519
LAM,2015,6.987029170799772,7.06481274903966,7.189336459594647,7.338389984729499,6.9879645575665945
MEA,2015,5.4974514221464625,5.539137775689344,5.692916422934586,5.805700591525434,5.502884116184269
NEU,2015,8.9212017050762,9.024140396110527,9.192069873324005,9.355700316681856,8.921626887752893
OAS,2015,6.8415653552129205,6.957311547671293,7.115523113647126,7.263522988173722,6.843489981937952
REF,2015,9.851023990634449,9.863424672054798,9.877352740325817,10.03265492591667,9.854247497778179
SSA,2015,4.329446352568917,4.425421601448046,4.683728715511254,4.829768046658849,4.329427721535089
USA,2015,10.485162869118458,10.50678515708261,10.54057822345803,10.559050777057767,10.48263039104605
